query_id,retrieved_docs
1,cts_for_0002013 cts_for_0000925 cte_foc_0002798 cts_for_0001093 cts_soc_0003259 cte_foc_0000260 cts_for_0002010 cdn_soc_0004946 cts_for_0000202 cdn_loc_0001911 cts_soc_0003030 cdn_soc_0003955 cdn_soc_0000300 cdn_soc_0002307 cts_soc_0003580 cts_soc_0002336 cte_foc_0002784 cte_foc_0001543 cts_soc_0000801 cts_soc_0004817 cdn_soc_0002385 cts_esy_0000215 cdn_loc_0000300 cdn_soc_0004947 cts_for_0001203 cdn_soc_0002219 cts_soc_0005595 cts_for_0000288 cte_foc_0003486 cts_ent_0001002 cts_for_0000082 cts_for_0000180 cdn_ent_0000749 cdn_ent_0000068 cts_ent_0001662 cdn_foc_0007908 cdn_foc_0000166 cdn_soc_0002947 cts_for_0001915 cdn_soc_0003603 cdn_soc_0001745 cts_soc_0005821 cts_ent_0002596 cdn_soc_0004137 cts_soc_0002209 cdn_eco_0002363 cdn_soc_0004721 cte_foc_0001485 cdn_loc_0001540 cte_foc_0000558 cdn_soc_0002936 cdn_loc_0001921 ctc_mnf_0002275 cdn_ent_0000029 cts_soc_0004551 cdn_foc_0007696 cts_ent_0003523 cts_ent_0000339 cdn_ent_0000128 cts_soc_0006015 cts_ent_0003437 cdn_soc_0000223 cts_esy_0000128 cdn_soc_0004433 cte_foc_0001178 cts_foc_0005252 cts_for_0000581 cts_soc_0006141 cte_foc_0002506 cdn_foc_0000618 cdn_foc_0007374 cts_for_0000140 cdn_foc_0005200 cdn_loc_0000211 cdn_foc_0003464 cdn_foc_0004143 cts_soc_0004433 cdn_spo_0000386 cts_ent_0000250 cts_ent_0000064 cts_soc_0005893 cts_soc_0005892 cdn_soc_0000965 cts_ent_0000196 cts_int_0002719 cte_foc_0002243 cts_soc_0004839 cdn_soc_0002442 cdn_for_0000326 ctc_esy_0000066 cdn_loc_0001330 cts_int_0000042 cdn_foc_0002002 cdn_soc_0004951 cdn_soc_0004796 cte_foc_0001767 cdn_loc_0000389 cte_foc_0003676 cdn_loc_0000097 cdn_soc_0004448
2,cdn_edu_0001302 cdn_edu_0001104 cdn_edu_0000415 cte_foc_0002373 cdn_edu_0001109 cts_soc_0004922 cts_soc_0005792 cdn_edu_0001047 cdn_edu_0001267 cts_soc_0004597 cdn_edu_0000918 cts_soc_0005004 cdn_edu_0001009 cdn_edu_0000914 cts_soc_0004894 cts_soc_0002755 cdn_edu_0001271 cts_soc_0005359 cdn_edu_0000978 cdn_edu_0000554 cts_soc_0005003 cts_soc_0005356 cdn_foc_0006366 cdn_edu_0001319 cdn_edu_0001372 cdn_edu_0001154 cdn_edu_0000919 cdn_edu_0001155 cdn_edu_0001259 cdn_edu_0000811 cte_foc_0003425 cdn_edu_0001084 cdn_foc_0006362 cdn_edu_0001270 cte_foc_0003620 cdn_edu_0001143 cts_soc_0002187 cdn_for_0000132 cdn_edu_0000220 cts_soc_0005535 cts_art_0001460 cte_foc_0003432 cdn_edu_0001214 cts_for_0001216 cts_soc_0006066 cdn_foc_0006364 cdn_edu_0001165 cts_soc_0005514 cdn_edu_0001134 cts_soc_0004035 cdn_edu_0001197 cdn_soc_0001411 cdn_edu_0001320 cts_for_0001217 cdn_edu_0000755 cts_for_0000408 cts_soc_0002342 cdn_edu_0000512 cdn_edu_0001163 cts_for_0001821 cts_soc_0002244 cdn_edu_0001105 cts_soc_0004895 cdn_edu_0000928 cdn_edu_0000583 cts_for_0001215 cts_soc_0005120 cts_soc_0005402 cdn_edu_0001253 cdn_edu_0000337 cdn_soc_0001296 cdn_loc_0001326 cdn_soc_0000493 cdn_soc_0001382 cdn_soc_0000961 cdn_soc_0000320 cts_soc_0006228 cts_foc_0000113 cts_for_0000392 cts_pol_0001186 cts_foc_0002014 cdn_edu_0001015 cts_for_0000568 cts_foc_0002586 cte_foc_0003482 cts_art_0001496 cdn_ent_0000228 cdn_edu_0000447 cts_soc_0005877 cdn_soc_0001695 cdn_soc_0000898 cts_for_0001089 cdn_soc_0001230 cdn_edu_0000836 cdn_foc_0007510 cts_soc_0002514 cts_foc_0001069 cte_foc_0001019 cdn_for_0000149 cts_chi_0001229
3,cts_soc_0000597 cdn_soc_0000013 cdn_for_0000641 cdn_soc_0000015 cdn_foc_0008635 cts_soc_0000417 cdn_foc_0000009 cts_foc_0000581 cts_soc_0000269 cts_soc_0000286 cdn_soc_0004042 cts_for_0001706 cdn_soc_0004228 cts_soc_0000287 cdn_foc_0008637 cts_soc_0000274 cdn_foc_0008636 cts_soc_0000418 cdn_loc_0001157 cdn_soc_0003907 cdn_soc_0003614 cdn_soc_0001917 ctc_esy_0000058 cts_soc_0000239 cts_soc_0004898 cdn_soc_0001397 cdn_for_0000565 cdn_foc_0005035 cts_soc_0002734 cts_soc_0002632 cdn_for_0000263 cdn_soc_0003237 cdn_soc_0004043 cts_soc_0004084 cdn_eco_0001564 cdn_soc_0004775 cdn_soc_0004620 cts_for_0000501 cdn_foc_0008638 cdn_soc_0001627 cdn_loc_0001324 cdn_loc_0000587 cdn_soc_0004721 cts_soc_0005691 cdn_soc_0002194 cts_soc_0005930 cte_foc_0001274 cts_ent_0000316 cdn_foc_0004082 cdn_soc_0000014 cts_for_0000718 cts_soc_0001032 cdn_soc_0002446 cdn_foc_0007350 cts_for_0001271 cdn_soc_0004909 cts_foc_0000097 cts_foc_0001321 cdn_foc_0002264 cdn_soc_0002246 cdn_edu_0000507 cts_soc_0005362 cdn_soc_0001775 cts_for_0000199 cts_for_0001223 cdn_foc_0007530 cts_for_0000065 cdn_soc_0003953 cts_foc_0002420 cts_foc_0002430 cts_esy_0000285 cdn_foc_0007373 cdn_soc_0004002 cts_soc_0003482 cts_foc_0001319 cts_for_0000954 ctc_foc_0000718 cdn_foc_0002966 cts_soc_0002352 cts_foc_0003676 cts_pol_0002432 cdn_foc_0001374 cdn_loc_0001711 cdn_foc_0004948 cdn_foc_0008532 cts_soc_0002588 cdn_spo_0001616 cdn_soc_0004787 cdn_foc_0007364 cdn_foc_0003212 cdn_foc_0008378 cdn_soc_0004695 cts_soc_0002781 cdn_spo_0000068 cdn_foc_0002019 cdn_eco_0003546 ctc_esy_0000061 cdn_loc_0000995 cts_art_0000311 cts_soc_0005897
4,cts_chi_0002306 cts_chi_0002329 ctc_chi_0001731 cdn_chi_0001993 cts_chi_0002234 ctc_chi_0001730 cts_chi_0002315 ctc_chi_0001603 ctc_dep_0001407 ctc_chi_0001199 cts_ent_0001940 ctc_chi_0001695 ctc_chi_0001864 cdn_ent_0000534 ctc_foc_0000239 ctc_ser_0000158 cts_soc_0005749 cts_ent_0002947 ctc_ser_0000276 cts_ent_0000308 cts_ent_0003686 cts_ent_0003347 cts_ent_0000152 cdn_eco_0002860 cts_ent_0000111 cdn_loc_0001013 cdn_loc_0001005 ctc_ser_0001237 cts_ent_0002811 cdn_spo_0001254 cts_ent_0001585 cts_ent_0000506 ctc_ser_0000421 cts_chi_0001379 ctc_eco_0000164 cts_ent_0000761 cdn_ent_0000547 cts_ent_0000321 cts_soc_0005411 cts_ent_0001668 cte_foc_0003564 cts_art_0001673 cts_chi_0000300 cts_chi_0002599 cts_ent_0003609 cts_eco_0001889 ctc_dep_0000043 cts_chi_0000069 cdn_eco_0002522 cts_ent_0003523 cdn_ent_0000246 cts_ent_0002495 cts_foc_0005257 ctc_dep_0000131 ctc_chi_0000586 cts_chi_0001098 cdn_eco_0003314 cts_art_0000151 ctc_foc_0000243 ctc_tec_0000953 cts_chi_0000157 cdn_chi_0000060 ctc_chi_0001321 cts_eco_0004397 cts_art_0000833 cdn_eco_0003279 ctc_eco_0001378 cdn_chi_0000735 cts_chi_0000224 cts_chi_0000221 cts_pol_0000694 cts_ent_0001315 cts_pol_0000718 cts_ent_0002547 cts_chi_0001033 cts_chi_0000638 cts_pol_0000689 cts_eco_0000508 cdn_chi_0000381 cdn_chi_0000888 cdn_chi_0000428 cts_chi_0001348 cdn_chi_0002176 cdn_chi_0002261 cts_chi_0000053 cts_chi_0000337 cts_ent_0001537 cts_chi_0000251 cdn_chi_0001836 cts_pol_0000719 cdn_chi_0000490 cts_soc_0005402 cts_chi_0002130 cdn_chi_0000924 ctc_chi_0000397 cts_chi_0002590 ctc_foc_0000733 cts_chi_0001714 cdn_chi_0000096 cts_chi_0002618
5,cdn_soc_0004796 cts_soc_0003601 cdn_loc_0001006 cdn_loc_0000998 cts_soc_0004839 cdn_soc_0004137 cts_for_0002122 cts_soc_0005710 cts_soc_0005709 cdn_loc_0002169 cdn_loc_0001127 cdn_soc_0004797 cdn_soc_0003177 cdn_soc_0003178 cts_soc_0000396 cdn_loc_0001472 cdn_loc_0001956 cts_soc_0002235 cdn_loc_0000943 cdn_loc_0002176 cdn_loc_0000494 cdn_loc_0001964 cdn_soc_0002947 cdn_loc_0001523 cdn_loc_0000250 cdn_eco_0001771 cdn_loc_0001218 cts_soc_0000464 ctc_dep_0000114 cts_soc_0002304 cdn_loc_0002018 cdn_loc_0001758 cdn_edu_0000721 cdn_loc_0001089 ctc_ser_0000534 cdn_loc_0000931 ctc_foc_0000096 cdn_loc_0002023 cts_soc_0003254 cte_foc_0000727 cdn_loc_0001404 cdn_foc_0005120 cdn_loc_0001338 cdn_loc_0002048 cdn_loc_0001383 cdn_loc_0001133 cdn_loc_0000767 cts_soc_0000456 cdn_loc_0000306 cdn_loc_0000590 cdn_loc_0001953 cdn_loc_0000813 cts_pol_0003166 cdn_loc_0001747 cdn_loc_0000793 cdn_loc_0000539 cts_soc_0002720 cdn_loc_0000097 cdn_loc_0000607 cdn_loc_0000586 cdn_loc_0000295 cdn_loc_0000849 cdn_soc_0000098 cdn_loc_0002193 cts_soc_0002597 cdn_loc_0001134 cdn_loc_0000307 ctc_cgo_0000674 cts_soc_0002305 cdn_loc_0000116 cdn_loc_0002203 cts_for_0001478 cte_foc_0002243 cte_foc_0003473 cdn_loc_0001921 cts_for_0001915 cts_esy_0000146 cdn_loc_0001213 cdn_soc_0001806 cdn_edu_0000321 cts_soc_0004822 cdn_loc_0000178 cdn_loc_0000461 cdn_loc_0001680 cdn_loc_0001505 cdn_loc_0000824 cts_pol_0003365 cdn_loc_0000697 cdn_loc_0002085 cdn_foc_0004373 cts_soc_0004841 cts_soc_0004852 cdn_loc_0000665 cts_for_0001435 cdn_loc_0001792 cts_soc_0002044 cte_foc_0001082 cdn_for_0000400 cts_soc_0001027 cte_esy_0000074
6,cts_eco_0003578 ctc_foc_0003504 cts_foc_0004652 cdn_foc_0004860 cdn_eco_0003578 ctc_dep_0001299 ctc_fin_0002731 ctc_foc_0003007 cdn_eco_0003475 cdn_eco_0003720 cdn_eco_0003488 cts_eco_0003396 cte_foc_0003316 cdn_eco_0004043 cdn_eco_0001201 ctc_foc_0003285 cts_foc_0004122 ctc_esy_0000190 ctc_foc_0001334 ctc_esy_0000233 cts_eco_0002928 cdn_foc_0007932 cts_eco_0003933 ctc_fin_0000825 ctc_foc_0000620 ctc_esy_0000201 ctc_esy_0000057 cdn_foc_0007931 cts_eco_0003022 cts_eco_0001358 cdn_foc_0007936 cdn_foc_0008298 cts_foc_0003666 ctc_foc_0000160 cts_foc_0005005 cts_foc_0004733 ctc_dep_0000863 cdn_for_0000461 cdn_eco_0003729 cdn_foc_0008144 cts_eco_0001645 cts_foc_0005006 cts_eco_0003802 ctc_foc_0003257 cdn_eco_0001647 cts_eco_0003093 cts_foc_0004121 cts_for_0000598 ctc_foc_0002315 cdn_foc_0004104 ctc_foc_0001004 ctc_foc_0002622 cts_eco_0003859 ctc_foc_0001013 cdn_eco_0003653 cdn_eco_0000785 cts_eco_0003686 ctc_fin_0002508 ctc_dep_0000677 cdn_for_0000448 cdn_eco_0003084 ctc_dep_0001593 cdn_foc_0005119 cts_eco_0003203 ctc_dep_0000612 cdn_eco_0003726 cts_eco_0003127 cdn_foc_0008167 cts_foc_0004117 ctc_foc_0001044 ctc_esy_0000236 cdn_eco_0003776 cdn_eco_0003113 ctc_dep_0001397 ctc_foc_0003638 cdn_eco_0003163 ctc_foc_0001014 cts_eco_0003848 cdn_eco_0003174 cdn_eco_0000892 ctc_foc_0002413 cts_eco_0003428 ctc_esy_0000229 cts_eco_0003778 ctc_dep_0000215 ctc_dep_0001376 ctc_foc_0003210 cdn_eco_0003886 cdn_eco_0003717 ctc_esy_0000050 cts_eco_0003860 cte_foc_0003232 ctc_foc_0003253 cdn_eco_0003784 ctc_foc_0003443 cdn_foc_0007939 cdn_foc_0008213 cdn_foc_0004055 ctc_foc_0003169 ctc_foc_0003313
7,ctc_esy_0000078 cts_for_0000684 cts_soc_0002759 cts_soc_0002760 cts_for_0000970 cts_soc_0002098 cdn_soc_0002354 cts_soc_0002357 cts_for_0000971 cts_soc_0002250 cts_soc_0002782 ctc_tec_0000871 cts_soc_0002935 cts_esy_0000174 ctc_tec_0000623 cts_pol_0001328 cts_soc_0005565 ctc_tec_0000655 cte_foc_0001355 ctc_ser_0000943 ctc_tec_0001177 cts_soc_0003777 cts_pol_0001380 cdn_edu_0000099 cdn_soc_0002417 cts_soc_0002103 cts_soc_0002419 cts_for_0001047 cts_for_0000678 ctc_foc_0001001 ctc_tec_0001217 cts_soc_0002249 ctc_tec_0000283 ctc_dep_0000407 cts_pol_0001061 ctc_foc_0003327 cts_soc_0003024 cts_soc_0004526 ctc_dep_0000531 cdn_soc_0004669 cts_for_0001326 cts_soc_0003032 ctc_dep_0000404 cts_soc_0002761 cts_soc_0003518 cts_soc_0001983 ctc_dep_0000406 cts_for_0001686 cts_soc_0003121 cts_soc_0003115 cts_soc_0002283 cts_soc_0003560 cts_soc_0003559 ctc_tec_0000473 cts_soc_0003237 ctc_foc_0002177 cts_int_0002557 cte_foc_0002356 cts_soc_0003880 ctc_foc_0001002 cts_soc_0003808 cts_soc_0003296 ctc_foc_0002689 ctc_foc_0003610 cts_pol_0001384 ctc_dep_0000405 cts_soc_0002279 ctc_tec_0001160 cdn_soc_0000050 cts_eco_0000909 cts_eco_0000587 ctc_foc_0001662 ctc_dep_0000509 cdn_soc_0003220 cts_soc_0004370 cdn_for_0000208 cts_soc_0003114 cts_soc_0001445 cts_soc_0003236 ctc_sto_0002115 cdn_foc_0008261 ctc_tec_0000509 cdn_soc_0002136 cdn_eco_0003788 ctc_foc_0000065 cdn_eco_0001929 cts_soc_0000060 cts_for_0000387 ctc_eco_0001545 cts_for_0000908 ctc_fin_0001479 ctc_sto_0002301 ctc_dep_0000636 cdn_soc_0004167 cdn_eco_0000546 cte_foc_0003524 cdn_foc_0008448 cdn_loc_0000110 ctc_dep_0000501 cts_int_0001365
8,ctc_dep_0000877 cdn_eco_0003365 cts_eco_0000557 cts_foc_0004593 cte_foc_0003271 cts_eco_0004366 cdn_foc_0001801 cts_soc_0000236 cts_soc_0000102 cte_esy_0000216 cdn_soc_0003588 cts_esy_0000557 cts_eco_0004330 cts_eco_0002609 ctc_foc_0002477 cts_eco_0000128 cts_eco_0000130 cdn_eco_0000118 cts_soc_0000103 cts_soc_0000046 cts_eco_0003468 cdn_foc_0007144 cts_eco_0000757 cdn_for_0000019 cts_for_0000852 cdn_foc_0005157 ctc_esy_0000094 cte_sto_0000134 cte_sto_0000295 ctc_sto_0000250 cdn_eco_0002259 cdn_eco_0003344 cdn_eco_0001878 cts_eco_0000470 cdn_eco_0000117 cts_eco_0003999 ctc_foc_0003255 cts_int_0002172 ctc_fin_0002634 ctc_foc_0001224 ctc_dep_0000443 ctc_chi_0001352 cts_eco_0000712 cdn_eco_0002345 ctc_foc_0000497 cts_eco_0000209 ctc_chi_0000519 cdn_eco_0001970 ctc_foc_0002942 cdn_foc_0000687 cte_sto_0001004 ctc_foc_0001494 ctc_foc_0000904 ctc_dep_0001512 cte_foc_0001168 ctc_esy_0000187 cts_eco_0001970 ctc_foc_0002562 ctc_foc_0000103 cdn_eco_0003133 ctc_foc_0002973 cdn_for_0000363 cts_foc_0004539 ctc_esy_0000195 cdn_eco_0002077 cts_eco_0004253 ctc_esy_0000027 cts_eco_0001607 ctc_chi_0001383 ctc_dep_0000872 ctc_fin_0001033 cdn_soc_0005091 cts_eco_0000612 cte_foc_0001187 ctc_dep_0001408 ctc_eco_0000316 cts_eco_0004278 cts_eco_0000005 ctc_chi_0000480 ctc_esy_0000139 ctc_esy_0000060 ctc_esy_0000015 cts_soc_0005822 ctc_esy_0000231 cts_esy_0000182 cts_eco_0000963 ctc_sto_0000223 cts_eco_0003534 cte_foc_0001421 ctc_esy_0000004 cts_eco_0003536 cdn_for_0000397 cts_for_0001753 ctc_foc_0000953 cts_eco_0003125 cts_chi_0002047 cts_foc_0000247 ctc_foc_0000345 ctc_eco_0001377 cts_eco_0002816
9,cts_foc_0005168 cdn_foc_0005314 cdn_chi_0002126 cdn_foc_0007908 cts_for_0001775 cdn_foc_0005332 cdn_foc_0005329 cdn_foc_0004759 cdn_for_0000633 cdn_foc_0007858 cdn_for_0000651 cts_foc_0000843 ctc_foc_0003318 ctc_dep_0001427 cts_pol_0003095 cte_foc_0003506 cts_foc_0001002 cdn_for_0000006 cdn_for_0000272 cts_pol_0003077 cdn_foc_0007786 cte_foc_0002849 cdn_chi_0002158 cts_for_0001922 cdn_eco_0002904 cte_foc_0003489 cdn_foc_0003964 cts_pol_0003065 cts_foc_0004717 cts_chi_0000579 cdn_foc_0005331 cts_foc_0005167 cdn_foc_0006516 cte_foc_0000552 cts_for_0001966 cdn_for_0000465 cts_chi_0002384 cdn_foc_0005306 cdn_for_0000655 cdn_foc_0006900 cdn_foc_0007861 cdn_for_0000121 cts_foc_0000894 cts_pol_0003045 cdn_foc_0005586 cts_for_0001868 cts_esy_0000401 cdn_foc_0005495 cdn_for_0000106 ctc_foc_0000521 cdn_foc_0005296 cdn_for_0000166 cts_pol_0001281 cdn_for_0000116 cdn_foc_0001957 cdn_foc_0004810 cdn_chi_0001209 cts_foc_0001077 cts_foc_0000890 cts_foc_0000916 cdn_foc_0008522 cdn_foc_0008408 cts_chi_0002064 cts_chi_0001997 cdn_foc_0006247 cts_foc_0004233 cts_foc_0004234 cts_pol_0001500 cdn_foc_0000371 cdn_foc_0004186 cts_foc_0005169 cts_foc_0001135 cdn_foc_0005334 cts_foc_0002046 cdn_for_0000118 cts_pol_0000523 cdn_foc_0004187 cts_foc_0000881 cts_for_0000301 cte_foc_0000648 cdn_foc_0004688 cdn_foc_0005558 cts_pol_0003034 cdn_foc_0000792 cts_for_0000753 cts_chi_0000697 cdn_foc_0007774 cts_pol_0001037 cts_foc_0000879 cts_foc_0001214 cts_chi_0002318 cdn_for_0000644 cdn_foc_0005313 cdn_foc_0006338 cdn_for_0000621 ctc_esy_0000039 cdn_foc_0001173 cts_esy_0000427 cts_pol_0002659 cts_chi_0001263
10,cte_foc_0003117 cdn_soc_0001064 cts_foc_0004458 cdn_foc_0008075 cts_soc_0001128 cdn_edu_0000502 cdn_edu_0000492 cts_soc_0004008 cdn_soc_0000396 cdn_soc_0001043 cts_esy_0000417 cdn_edu_0001006 cdn_edu_0001168 cte_foc_0000630 cts_soc_0006212 cdn_edu_0001007 cdn_edu_0000893 cts_soc_0006272 cts_soc_0004695 cte_foc_0003116 cdn_soc_0000982 cdn_soc_0000238 cdn_edu_0000771 cdn_edu_0000851 cdn_edu_0001281 cts_soc_0002805 cts_for_0000530 cdn_soc_0000898 cdn_foc_0008072 cts_foc_0001069 cte_foc_0000747 cdn_foc_0004511 cdn_edu_0000550 cts_for_0000019 cts_foc_0001948 cts_soc_0002342 cts_soc_0004845 cts_foc_0000112 cdn_foc_0001915 cdn_soc_0000105 cdn_edu_0001226 cdn_foc_0001814 cdn_soc_0000682 cdn_edu_0000207 cts_for_0000507 cdn_edu_0000576 cts_soc_0001604 cdn_soc_0001005 cte_foc_0000058 cdn_ent_0000228 cte_foc_0001453 cts_soc_0004801 cdn_soc_0001103 cts_for_0000207 cdn_edu_0000143 cdn_edu_0001183 cts_foc_0001067 cts_for_0000401 cdn_soc_0000859 cdn_foc_0001969 cdn_soc_0001367 cdn_for_0000131 cdn_soc_0001023 cdn_edu_0000788 cts_soc_0002341 cdn_soc_0001123 cdn_edu_0000992 cdn_edu_0001343 cts_soc_0001507 cts_soc_0003313 cts_soc_0001367 cts_foc_0000113 cts_for_0000829 cdn_soc_0004772 cdn_soc_0000929 cts_soc_0000069 cts_for_0000254 cts_soc_0001481 cdn_edu_0000323 cdn_edu_0001379 cte_foc_0000967 cdn_soc_0001455 cts_soc_0005004 cts_soc_0002303 cdn_edu_0000216 cdn_foc_0008536 cts_soc_0002514 cdn_soc_0001100 cdn_edu_0001108 cdn_edu_0000078 cts_soc_0001363 cdn_edu_0000447 cts_soc_0001979 cts_soc_0001770 cts_soc_0005159 cts_for_0000011 cdn_edu_0000835 cdn_soc_0000297 cts_for_0000386 cte_foc_0001927
