query_id,retrieved_docs
11,cdn_eco_0001201 ctc_esy_0000201 cdn_eco_0003653 cts_foc_0005006 cts_foc_0004122 ctc_esy_0000233 cdn_foc_0007936 cts_eco_0001645 ctc_esy_0000057 cts_eco_0003093 ctc_foc_0003257 ctc_esy_0000190 ctc_foc_0002315 ctc_foc_0001334 cdn_for_0000461 cts_foc_0005005 ctc_foc_0003210 cdn_eco_0003776 cts_eco_0003127 ctc_dep_0000677 cts_eco_0003802 cdn_foc_0007932 cts_foc_0004121 cts_foc_0004117 cdn_foc_0007931 cdn_eco_0003163 cts_foc_0003666 cts_eco_0002928 cdn_eco_0003717 ctc_foc_0001553 cts_eco_0003860 cts_eco_0003022 cts_eco_0003848 ctc_foc_0002622 cts_eco_0003778 ctc_foc_0000620 ctc_dep_0000507 ctc_dep_0000863 ctc_foc_0001013 cts_for_0000598 ctc_foc_0002413 ctc_foc_0003236 cts_eco_0003825 ctc_foc_0003313 ctc_foc_0002614 cts_eco_0003578 cdn_eco_0003686 ctc_foc_0003638 ctc_fin_0000825 ctc_dep_0000676 cdn_foc_0007940 cts_eco_0003396 ctc_foc_0001014 ctc_dep_0000215 cts_eco_0003203 ctc_foc_0003253 ctc_foc_0001004 ctc_dep_0001397 ctc_esy_0000236 cdn_foc_0005119 ctc_foc_0003169 cdn_eco_0003174 ctc_dep_0001376 cts_eco_0003861 ctc_foc_0003443 cdn_foc_0008298 ctc_dep_0001593 cdn_eco_0003736 ctc_foc_0003252 ctc_foc_0001948 cdn_eco_0003531 cdn_foc_0008144 ctc_foc_0001064 ctc_foc_0001751 ctc_foc_0003154 ctc_foc_0001049 cdn_eco_0003764 cdn_foc_0007941 ctc_tec_0001602 ctc_foc_0000160 cdn_eco_0000892 cts_eco_0001307 ctc_foc_0002674 cts_foc_0004120 cdn_foc_0007939 ctc_foc_0002834 ctc_foc_0003142 ctc_dep_0001299 ctc_dep_0000612 ctc_foc_0001044 cts_foc_0004652 cdn_eco_0003886 ctc_foc_0003504 cdn_eco_0003113 cdn_eco_0002578 ctc_dep_0000965 cte_foc_0000854 ctc_fin_0001138 cdn_foc_0006425 cdn_foc_0004860
12,cdn_foc_0006865 cts_foc_0002188 cte_foc_0001449 cdn_foc_0006869 cts_esy_0000206 cdn_foc_0002189 cts_foc_0002187 cte_foc_0001454 cdn_foc_0006866 cdn_soc_0002239 cts_soc_0004301 cts_soc_0004302 cts_soc_0002407 cdn_foc_0006870 cts_soc_0002655 cts_foc_0002185 cdn_foc_0006872 cts_soc_0005346 cdn_foc_0006868 cdn_soc_0002235 cts_for_0000839 cdn_soc_0002234 cte_foc_0001482 cts_foc_0002181 cts_soc_0005432 cts_foc_0002186 cts_for_0000848 cte_foc_0002845 cdn_foc_0006867 cts_soc_0001344 cte_foc_0002164 cts_soc_0003399 cts_soc_0002667 cts_soc_0003453 cts_soc_0002814 cts_foc_0002183 cts_foc_0003520 cts_soc_0001509 cts_soc_0003418 cts_foc_0004309 cte_foc_0001505 cts_soc_0004152 cts_soc_0001424 cts_soc_0001197 cts_foc_0001318 cte_foc_0002731 cts_soc_0001209 cts_soc_0003452 cts_soc_0001333 cts_soc_0001323 cdn_foc_0007633 cts_soc_0000214 cts_chi_0001815 cts_foc_0003151 cts_for_0000837 cts_soc_0004909 cts_foc_0001340 cts_pol_0000130 cte_foc_0002738 cts_pol_0001010 cts_soc_0000216 cts_soc_0000496 cts_pol_0002876 cts_foc_0005232 cts_soc_0004630 cts_soc_0000085 cts_soc_0005269 cte_foc_0003473 cts_soc_0004077 cts_for_0000511 cts_soc_0005778 cts_soc_0001522 cts_soc_0001169 cte_foc_0000940 cte_foc_0001639 cts_chi_0001654 cte_esy_0000105 cts_soc_0002553 cdn_chi_0000733 cts_chi_0000737 cts_chi_0000743 cdn_for_0000182 cts_soc_0000933 cts_soc_0000923 cts_soc_0002824 cdn_soc_0002963 cdn_foc_0002992 cts_foc_0003562 cts_soc_0004507 cts_soc_0001326 cts_soc_0001332 cts_art_0001571 cdn_soc_0002422 cts_soc_0003128 cts_for_0000663 cts_soc_0001763 cts_soc_0004464 cts_soc_0004345 cts_soc_0004058 cte_foc_0000360
13,cts_esy_0000095 cts_pol_0000563 cts_foc_0000979 cts_foc_0001015 cts_pol_0000566 cte_foc_0000721 cte_foc_0000812 cts_pol_0003256 cts_pol_0000551 cts_foc_0001002 cdn_foc_0006345 cts_for_0000412 cts_foc_0001363 cts_pol_0000100 cts_foc_0000951 cts_pol_0000540 cts_foc_0000952 cts_pol_0000574 cts_foc_0004080 cts_foc_0000926 cts_for_0001557 cts_foc_0001027 cte_foc_0002875 cts_for_0001548 cts_foc_0000843 cts_foc_0004069 cts_esy_0000088 cte_foc_0000699 cts_pol_0000553 cte_foc_0000648 cts_pol_0001542 cts_chi_0000579 cts_pol_0000800 cts_for_0000382 cts_for_0000300 cts_foc_0003795 cts_foc_0001017 cts_pol_0000069 cts_foc_0000981 cts_pol_0001195 cts_foc_0004192 cte_foc_0000751 cts_foc_0003808 cts_foc_0001150 cte_foc_0000701 cts_foc_0001058 cts_foc_0000821 cts_pol_0002364 cts_for_0002067 cts_foc_0001151 cts_foc_0000932 cdn_foc_0006323 cts_for_0001039 cts_foc_0000782 cts_foc_0001044 cts_for_0001510 cts_pol_0000432 cts_esy_0000090 cte_foc_0000780 cts_esy_0000092 cts_foc_0001142 cdn_foc_0001239 ctc_dep_0001591 cts_foc_0005516 cts_for_0001011 cts_pol_0000444 cts_for_0001526 cdn_foc_0007910 cts_pol_0000493 cte_foc_0001936 cts_foc_0004082 cts_foc_0003771 cts_foc_0001733 cdn_foc_0006331 cts_foc_0000983 cts_for_0001458 cts_foc_0001063 cts_foc_0001034 cts_foc_0000878 cte_foc_0000552 cts_foc_0001337 cdn_foc_0005750 cts_for_0002007 cts_foc_0005034 cts_foc_0005029 cts_foc_0005103 cts_foc_0005139 cts_foc_0005147 cts_esy_0000381 cte_foc_0000109 cts_for_0001568 cdn_foc_0000909 cts_pol_0000576 cte_esy_0000019 cts_foc_0005697 cdn_foc_0001114 cts_foc_0005574 cts_esy_0000078 cte_foc_0000621 cdn_foc_0001104
14,cts_for_0000709 cts_eco_0001506 ctc_ser_0000390 ctc_ser_0000389 ctc_fin_0001382 cdn_soc_0002006 cte_esy_0000087 cts_ent_0000893 cte_foc_0003502 cte_foc_0001429 cts_esy_0000183 cts_eco_0003581 cts_eco_0001607 cts_ent_0001511 cts_ent_0000925 cts_for_0001073 cts_ent_0001598 ctc_foc_0000976 cdn_loc_0001250 cts_soc_0002295 cts_for_0001831 ctc_mnf_0001885 cts_esy_0000554 ctc_ser_0001209 cts_foc_0000188 ctc_mnf_0000812 ctc_ser_0000072 cdn_foc_0006900 cts_art_0000322 cts_pol_0001479 cts_pol_0002844 cts_esy_0000355 ctc_ser_0000772 cte_foc_0002944 cte_foc_0002600 cts_ent_0001438 ctc_mnf_0000296 cts_esy_0000345 cdn_edu_0000413 cts_eco_0000972 cts_chi_0001906 cts_art_0001366 cts_art_0001255 cts_for_0001889 ctc_chi_0000092 cts_pol_0003261 ctc_ser_0000272 cts_art_0000402 cts_soc_0005411 cts_chi_0000910 cts_art_0001500 cdn_for_0000574 cts_for_0001867 cte_foc_0001364 cdn_loc_0001803 ctc_ser_0001130 cts_art_0001778 cts_int_0000064 ctc_tec_0000654 cts_for_0000336 cts_eco_0003930 cdn_for_0000015 cts_art_0000795 cts_art_0001137 cte_foc_0002157 ctc_tec_0000205 cdn_foc_0002218 cts_ent_0001091 cts_art_0000483 cts_art_0000410 ctc_ser_0000793 cts_for_0002050 cts_eco_0001915 cts_for_0002054 cdn_ent_0000093 cts_art_0001456 cts_art_0001759 cts_pol_0003262 ctc_mnf_0002391 cts_for_0001416 cdn_foc_0007985 cts_art_0000270 cts_for_0001589 cts_art_0002068 ctc_ser_0000279 cts_for_0001089 cts_art_0001747 ctc_tec_0001289 ctc_chi_0001845 cts_soc_0003106 ctc_ser_0000186 cts_soc_0005943 cts_for_0001206 cts_soc_0004415 cdn_eco_0002085 cts_eco_0003969 ctc_mnf_0002156 cts_art_0001405 cts_foc_0003697 cts_for_0000994
15,ctc_dep_0001128 cte_foc_0002963 cdn_spo_0000979 ctc_dep_0001127 cte_foc_0002955 cts_eco_0003677 ctc_dep_0001126 cdn_spo_0000976 ctc_eco_0001211 cdn_spo_0000974 cdn_spo_0001000 ctc_mnf_0002033 cts_for_0001628 ctc_ser_0001105 ctc_tec_0000205 cts_for_0001859 ctc_dep_0000089 ctc_ser_0001106 ctc_ser_0000690 cdn_spo_0001429 cdn_for_0000471 cdn_spo_0000963 cts_foc_0002295 cdn_spo_0000980 cdn_soc_0000761 ctc_sto_0004592 cts_for_0001671 ctc_foc_0001168 ctc_ser_0000094 ctc_sto_0005922 ctc_foc_0003632 ctc_foc_0002934 cts_eco_0004089 cdn_spo_0000137 cdn_eco_0003328 cts_eco_0003505 ctc_sto_0006078 ctc_ser_0000272 cte_foc_0000435 cts_eco_0003262 ctc_sto_0002236 cts_eco_0004397 cdn_spo_0000826 ctc_mnf_0001933 cte_foc_0003387 cdn_soc_0003877 cts_foc_0004733 ctc_esy_0000231 cts_eco_0003286 cts_eco_0004410 ctc_foc_0002678 cts_eco_0000632 ctc_chi_0001905 cdn_foc_0006958 cts_for_0000804 ctc_sto_0002946 cts_eco_0003911 cts_eco_0004095 cdn_for_0000140 ctc_sto_0006551 ctc_cgo_0001167 cte_sto_0000492 ctc_eco_0001567 ctc_sto_0000005 ctc_sto_0004323 cts_pol_0000375 cts_ent_0001831 ctc_sto_0004261 ctc_esy_0000018 cdn_spo_0001400 ctc_sto_0000321 cdn_foc_0006304 cdn_spo_0000941 cdn_spo_0000981 cdn_eco_0004147 ctc_chi_0001594 cdn_foc_0007973 ctc_mnf_0001390 cts_esy_0000058 cts_eco_0000794 ctc_foc_0001006 cdn_eco_0001268 ctc_fin_0002634 ctc_esy_0000235 cdn_foc_0008362 cts_for_0000190 ctc_sto_0004474 ctc_sto_0002913 ctc_foc_0002996 cts_eco_0000418 ctc_sto_0003241 cte_sto_0000290 ctc_foc_0000243 cts_ent_0002916 ctc_dep_0001071 ctc_sto_0001067 cts_esy_0000419 ctc_sto_0000801 cdn_for_0000664 cts_eco_0003504
16,cdn_spo_0000085 cts_esy_0000232 cdn_spo_0000087 cdn_spo_0000088 cdn_soc_0002584 cdn_foc_0006895 cdn_spo_0000043 cdn_spo_0001594 cdn_spo_0001597 cdn_soc_0005122 cts_for_0000996 cts_soc_0006085 cts_soc_0000949 cdn_foc_0006894 cdn_foc_0006898 cts_for_0000945 cdn_spo_0000770 cts_soc_0003653 cte_foc_0003538 cdn_spo_0000100 cts_soc_0003070 cdn_spo_0000205 cts_for_0001567 cts_soc_0006088 cdn_foc_0006896 cts_soc_0003142 cdn_spo_0000078 cts_for_0001878 cdn_spo_0001220 cdn_soc_0002582 cte_foc_0002059 cdn_soc_0002585 cts_soc_0002633 cdn_soc_0005118 cts_soc_0005737 cts_foc_0002215 cdn_spo_0001563 cdn_foc_0008655 cts_esy_0000211 cts_soc_0003499 cdn_soc_0002583 cts_for_0001202 cdn_spo_0000099 cte_foc_0003726 cdn_spo_0001550 cdn_spo_0000177 cdn_spo_0000464 cts_soc_0006262 cts_for_0001876 cdn_spo_0000260 cdn_spo_0001605 cdn_spo_0001552 cdn_foc_0008656 cdn_spo_0001288 cdn_spo_0000314 cts_soc_0004090 cdn_spo_0001274 cts_foc_0005562 cts_for_0001877 cdn_soc_0004622 cts_pol_0002134 cdn_spo_0000956 cdn_spo_0000041 cdn_spo_0001339 cdn_spo_0001128 cdn_spo_0000828 cdn_spo_0001321 cdn_spo_0001257 cdn_spo_0001081 cdn_spo_0001030 cdn_spo_0000211 cdn_spo_0000473 cdn_soc_0001022 cdn_spo_0000412 cdn_spo_0001272 cdn_spo_0000375 cdn_spo_0001236 cts_pol_0001505 cts_ent_0002368 cdn_spo_0001545 cdn_spo_0000901 cdn_spo_0000443 cts_for_0001859 cdn_spo_0001285 cts_soc_0003953 cdn_spo_0000086 cdn_spo_0001161 cdn_soc_0002224 cdn_spo_0000098 cdn_spo_0000854 cdn_spo_0000837 cdn_spo_0000926 cdn_foc_0006459 cdn_spo_0000976 cdn_spo_0001354 cdn_spo_0000486 cdn_spo_0001501 cdn_spo_0001118 cdn_eco_0001224 cte_foc_0001618
17,cts_for_0001441 cte_foc_0002721 cte_foc_0002716 cts_soc_0004283 cts_soc_0004250 cts_soc_0004282 cts_soc_0004251 cts_soc_0004350 cts_for_0001436 cts_for_0001851 cdn_soc_0003683 cts_for_0001435 cts_for_0001478 cdn_soc_0003618 cts_for_0001479 cts_soc_0004349 cts_soc_0004201 cts_soc_0004303 cts_for_0001529 cdn_foc_0004355 cdn_soc_0003638 cdn_foc_0003626 cts_for_0001527 cdn_soc_0003631 cte_esy_0000185 cts_for_0001513 cdn_soc_0005145 cdn_foc_0004373 ctc_esy_0000066 cte_foc_0002131 cts_soc_0001325 cts_for_0001618 cdn_soc_0002786 cts_for_0001630 cts_foc_0002919 cts_chi_0001016 cts_chi_0001025 ctc_esy_0000017 cdn_for_0000326 cdn_loc_0001013 cdn_loc_0001005 cts_chi_0001088 cdn_chi_0000718 cts_soc_0003417 cdn_loc_0001980 cdn_loc_0001350 cts_soc_0003522 cdn_soc_0001650 cdn_loc_0002288 cdn_loc_0000633 cte_foc_0003675 cdn_soc_0003687 cts_eco_0001665 cdn_foc_0002002 cdn_soc_0001745 cts_soc_0006015 cts_soc_0000475 ctc_dep_0000421 cts_foc_0001933 cdn_chi_0000754 cdn_soc_0002890 cts_foc_0002483 cts_soc_0003733 cts_for_0000297 cts_for_0001194 cdn_soc_0001054 cts_pol_0000794 cdn_soc_0000948 cts_foc_0003045 cts_for_0000890 cts_foc_0002433 cts_for_0000905 cdn_loc_0001540 cts_for_0001850 ctc_chi_0000515 cte_foc_0003124 ctc_dep_0000007 ctc_ser_0000455 ctc_dep_0001077 cts_pol_0001342 cdn_loc_0001747 ctc_dep_0000519 cte_foc_0003676 cdn_loc_0000510 cdn_loc_0001680 cts_foc_0002495 cts_eco_0001350 cdn_soc_0004463 cdn_loc_0001894 cts_foc_0005639 cdn_eco_0001352 cdn_loc_0000523 cdn_loc_0000191 cdn_foc_0005035 cdn_chi_0001939 ctc_dep_0000697 cdn_soc_0005038 cts_for_0001968 cdn_loc_0000981 cdn_loc_0001703
18,cts_int_0002719 cte_foc_0003560 cdn_foc_0008499 cts_int_0002759 cts_foc_0005252 cts_int_0000384 cts_int_0002780 cts_int_0002675 cts_int_0002751 cts_int_0002742 cts_int_0002687 cts_int_0002663 cts_int_0002677 cts_int_0002696 cdn_foc_0008510 cdn_ent_0000178 cdn_foc_0008434 cts_int_0001459 cts_int_0001453 cts_int_0002758 cdn_foc_0008601 cts_int_0002723 cts_int_0002939 cdn_foc_0008422 cdn_soc_0004738 cts_int_0002835 cts_int_0002697 cts_int_0002651 cdn_soc_0004973 cts_int_0002937 cdn_foc_0008491 cdn_soc_0004735 cts_int_0002740 cts_int_0001500 cts_int_0002727 cdn_foc_0008414 cdn_foc_0005372 cts_int_0002840 cts_int_0002722 cdn_foc_0008498 cdn_foc_0005603 cts_int_0002665 cts_int_0002881 cts_int_0002781 cdn_foc_0008488 cdn_foc_0005532 cts_int_0002897 cts_int_0002790 cts_int_0002688 cts_int_0002845 cts_int_0002499 cts_for_0001996 cdn_foc_0005430 cts_int_0002724 cdn_foc_0005806 cts_esy_0000427 cts_int_0002748 cdn_foc_0005531 ctc_eco_0001510 cts_int_0002741 cts_int_0002848 cts_soc_0005593 cts_int_0002726 cdn_foc_0008485 ctc_eco_0001637 cts_for_0002078 cte_foc_0003463 cts_foc_0004539 cts_int_0002718 cts_int_0002743 cts_foc_0004478 cts_int_0001631 cts_int_0002761 cts_pol_0003154 cts_int_0002749 cts_int_0002700 cts_foc_0005512 cts_foc_0004446 cts_int_0001484 ctc_eco_0001533 cts_int_0002352 cdn_foc_0004829 cts_int_0002787 cts_for_0001688 cts_int_0002908 cts_for_0001990 cts_int_0001482 cts_int_0001474 cts_foc_0005110 cts_int_0002031 cts_for_0001961 cts_int_0001499 cts_foc_0005251 cts_int_0002343 cdn_foc_0005584 cts_int_0002658 cts_int_0002755 cdn_foc_0008631 cts_pol_0003195 cts_int_0001068
19,cts_soc_0004991 cdn_edu_0000876 cts_soc_0004984 cts_for_0001997 cts_soc_0004715 cts_soc_0005420 cts_soc_0005788 cdn_soc_0004841 cts_for_0001677 cte_foc_0003562 cts_for_0001970 cdn_soc_0004840 cdn_edu_0000946 cdn_soc_0004071 cts_soc_0004753 cts_soc_0005786 cts_soc_0006228 cts_soc_0005787 cts_for_0001973 cts_for_0001971 cts_soc_0004752 cts_for_0001689 cdn_soc_0004849 cts_for_0001676 cdn_edu_0001382 cts_for_0001697 cts_for_0001979 cts_for_0001993 cts_soc_0004959 cts_soc_0005401 cts_for_0001980 cts_for_0001675 ctc_tec_0000433 cdn_spo_0000859 cdn_edu_0000742 cdn_loc_0001326 ctc_ser_0000756 cts_ent_0003367 ctc_tec_0000194 ctc_ser_0001133 cts_art_0000497 cts_art_0000258 cte_foc_0001178 cts_soc_0005402 cts_art_0000326 cdn_edu_0001197 cts_soc_0000448 cdn_spo_0000991 cdn_soc_0001946 cts_art_0001656 cdn_foc_0006516 cdn_soc_0004069 ctc_tec_0000161 cts_esy_0000470 cdn_edu_0000835 cdn_for_0000630 cts_soc_0005865 cts_eco_0001102 cts_eco_0001090 cts_eco_0000611 ctc_ser_0001111 ctc_foc_0001545 ctc_tec_0000236 cts_art_0002021 cdn_foc_0006244 ctc_tec_0000429 ctc_tec_0000704 cdn_chi_0002267 cts_pol_0001251 ctc_ser_0000880 cdn_soc_0004880 cts_for_0001416 cdn_soc_0003874 cdn_soc_0000212 cte_foc_0000966 cte_foc_0000501 cts_art_0000760 ctc_dep_0000652 cdn_edu_0000479 cdn_soc_0004690 cdn_foc_0008153 cts_art_0001628 cdn_foc_0005156 cdn_soc_0004687 ctc_foc_0000138 ctc_tec_0002177 cdn_edu_0000472 cdn_soc_0000005 cts_chi_0000041 ctc_foc_0000531 ctc_sto_0003129 cte_foc_0003452 cts_soc_0005866 cdn_foc_0007307 ctc_tec_0000859 cts_soc_0004035 cts_art_0001680 ctc_foc_0003513 cdn_foc_0000514 ctc_foc_0000126
20,cts_for_0002008 cts_soc_0005063 cte_foc_0003124 cts_soc_0005957 cts_for_0001999 cts_soc_0005697 cts_soc_0005956 cts_eco_0000871 cts_soc_0006052 cts_soc_0006120 cdn_loc_0001805 cdn_soc_0004134 cts_eco_0003496 cts_soc_0001027 cdn_soc_0004133 cts_for_0002055 cts_soc_0006051 ctc_dep_0000560 cdn_soc_0005146 cts_for_0001655 cdn_soc_0004994 cdn_soc_0004993 cdn_soc_0004992 cts_for_0000451 cts_eco_0003397 cts_esy_0000522 ctc_dep_0000119 cdn_soc_0005161 cdn_foc_0007307 cdn_eco_0001492 cts_pol_0000147 cts_for_0002063 cdn_loc_0000691 ctc_dep_0000004 ctc_esy_0000207 cdn_foc_0000417 cts_pol_0000132 ctc_dep_0000114 ctc_esy_0000017 ctc_dep_0000008 cdn_loc_0000044 cts_for_0000146 ctc_foc_0002521 cdn_loc_0002085 cdn_loc_0002078 cts_for_0000264 cdn_loc_0000851 cts_for_0000890 cdn_chi_0000754 ctc_dep_0001077 cts_soc_0003349 cts_soc_0003347 cts_foc_0000282 cte_foc_0001373 ctc_dep_0000248 cts_foc_0000177 cdn_loc_0002311 cdn_loc_0001313 ctc_mnf_0001148 cdn_foc_0001332 cts_foc_0004195 cdn_loc_0000176 cts_for_0000267 cdn_soc_0003688 ctc_dep_0000396 cdn_loc_0002180 cts_foc_0004539 cts_soc_0003816 cts_for_0001242 cdn_loc_0001680 cdn_chi_0000718 cdn_eco_0001771 cts_foc_0000624 cts_foc_0000634 cdn_soc_0002786 cdn_loc_0001013 cdn_loc_0001005 cdn_loc_0001442 ctc_mnf_0001868 ctc_foc_0001656 cts_pol_0002120 cts_foc_0003965 ctc_foc_0000065 cts_for_0001176 ctc_tec_0001859 cts_eco_0001376 cts_for_0002122 cdn_loc_0000767 cts_chi_0000823 cts_foc_0002398 cts_eco_0000139 ctc_mnf_0001761 cdn_loc_0001070 cts_chi_0000807 cts_chi_0000803 cts_soc_0003182 cdn_foc_0006516 cdn_foc_0007166 cdn_soc_0002069 cts_foc_0002808
